chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rmse,zero_crossing_rate
0.34822496491068056,3476.169215678538,2906.846664733136,5209.8127837335505,0.019440362,0.13344006519320087
0.38251835317431343,3238.5058212199574,2954.1471192526024,4965.871042610522,0.010735605,0.12129654448278086
0.4152453603485026,3568.195475308357,3237.9752248434897,5783.027706606405,0.011347591,0.12999897694652304
0.3544774796965283,3357.3586793417912,2851.1212391442837,5084.04397264567,0.018165186,0.12806969126870243
0.43608576099755536,5719.848992414776,3707.5535880115567,8997.631284723342,0.037209105,0.2245209287511289
0.3346356261876217,5992.236514734885,3672.968372292246,9192.416345219568,0.037362434,0.23719091689781963
0.2361582217652377,5726.26500242766,3649.4018909665565,8972.235552215674,0.04196125,0.22806116382368116
0.32279676647623184,3248.7192329942454,2613.2786507142323,4745.508473956989,0.021625103,0.12671323659850342
0.3521425120043027,3092.8182770333565,2944.8316872445,4703.319953423349,0.010058241,0.11276569152367437
0.3367699114133408,3312.5772775921237,2727.285560481108,4887.136998703796,0.020106178,0.12621304912269385
0.2617255616664606,5402.231973101916,3632.4220742145985,8409.878163342013,0.047055677,0.230737232260899
0.2937168335545035,6346.71109206573,3705.967296373634,9901.503529534495,0.04210035,0.2564819635168043
0.3544209781958426,3479.1421260369702,2802.0449413638585,5255.410056716472,0.017825313,0.14032394257595793
0.3601210822341157,3353.0083416046705,2768.5059777477195,4966.690376406714,0.018315956,0.13070557868728233
0.3277836454518106,3447.2407679447883,2816.4174681404597,5296.412320285286,0.016034333,0.13989613739356213
0.46051894736526966,4598.927019573112,4063.642455490757,8810.129666288452,0.03540795,0.16506734036421386
0.4019486488127791,3182.8575620861475,3075.1952168799357,5057.9857828324575,0.012650091,0.11175259139949684
0.28302081457161743,6145.404015944377,3063.2102691987957,8796.2259658028,0.06312472,0.2707513546639143
0.35996010066111334,3186.212854860644,2717.879836578519,4713.130174408294,0.020613829,0.12160539670127693
0.38775601153637107,4889.417627753534,3951.632228469075,8712.782372838989,0.039388914,0.19195330642820282
0.22537546195474778,5631.5515634123985,3410.00461461811,8127.8412514712045,0.051591907,0.24128317516203404
0.5002243303789842,3247.614205036293,3333.1177907314604,5544.770634434267,0.005660982,0.10898984304444588
0.4069563374917299,3252.6749598685237,3183.51366480038,5314.551732242761,0.007253895,0.12333003152005675
0.3241854661831907,3372.463614839312,2634.9048090941033,4980.492921528271,0.021236714,0.13172279685685717
0.3668807181926967,3234.1513588402645,2991.671993672281,5057.0384441322085,0.01368673,0.12086016118887885
0.48717701253295964,3202.0274942232872,3302.3229230726542,5388.770898261111,0.006073879,0.10910405461795253
0.30979308326058236,6213.3555479548295,2933.4568338723766,8797.923396729051,0.06885763,0.2766467633208618
0.3531550687132275,3396.6486215323994,2909.4296059537273,5191.821084378627,0.017686361,0.126735026461531
0.31504433684494315,5187.631943552212,3796.27988082014,8624.171477873822,0.042805005,0.21595865150464455
0.3619484357872629,3308.3754182104053,3033.517849436372,5268.3088648843695,0.015602254,0.11919851823555025
0.38602700098040504,3366.179852872996,2939.999864857497,5179.661854367581,0.016364338,0.12553697708360212
0.38276513050088723,3187.1864866237265,3030.8055185868666,4993.208373818701,0.009772091,0.11743368799187201
0.4543989552341483,3701.1434977420954,3315.2400838339668,6182.332357820765,0.010474006,0.1327546697603535
0.41290011752449823,3472.4253737369336,3090.2280632118554,5496.179981740939,0.011304344,0.1290638250918999
0.3324649475002198,3379.7224092589886,2709.1582230656754,5024.898381307654,0.020239798,0.13069060897384208
0.3139981966313219,6158.95057444394,3656.3359200458594,9448.017216528513,0.040277798,0.24787943188782094
